ID;Name;Year Published;Min Players;Max Players;Play Time;Min Age;Users Rated;Rating Average;BGG Rank;Complexity Average;Owned Users;Mechanics;Domains
43;Mancala 4;0;2;4;30;0;35;5,82;16363;1,50;136;Mancala;Abstract Games
44;Watten;0;2;4;30;8;53;7,15;9495;2,13;71;Betting and Bluffing;Abstract Games
44;Watten;0;2;4;30;8;53;7,15;9495;2,13;71;Team-Based Game;Abstract Games
44;Watten;0;2;4;30;8;53;7,15;9495;2,13;71;Trick-taking;Abstract Games
45;Blitz;0;2;9;30;10;195;5,54;16589;1,12;130;Set Collection;Party Games
46;Seega;0;2;2;20;8;39;5,73;16625;2,20;114;Point to Point Movement;Abstract Games
47;Evo;0;2;4;30;8;33;5,72;16876;2;35;Area Movement;Abstract Games
48;Poker Dice;0;2;12;10;8;480;5,01;20128;1,25;961;Betting and Bluffing;Family Games
48;Poker Dice;0;2;12;10;8;480;5,01;20128;1,25;961;Dice Rolling;Family Games
49;Renju;0;2;2;10;8;84;6,12;12404;2,75;99;Pattern Building;Abstract Games
49;Renju;0;2;2;10;8;84;6,12;12404;2,75;99;Pattern Recognition;Abstract Games
50;Kryptonim: Lew Morski;0;2;2;60;0;38;5,47;17140;2,29;56;Hexagon Grid;Wargames
51;Puluc;0;2;2;0;0;31;5,95;16361;2;53;Roll / Spin and Move;Abstract Games
52;Palace;0;2;6;20;8;207;6,09;8928;1,11;141;Hand Management;Family Games
52;Palace;0;2;6;20;8;207;6,09;8928;1,11;141;Player Elimination;Family Games
52;Palace;0;2;6;20;8;207;6,09;8928;1,11;141;Single Loser Game;Family Games
53;Okey;0;2;4;60;0;57;6,37;13194;1,57;82;Set Collection;Abstract Games
54;Go Fish;0;2;6;20;4;1445;3,61;20334;1,05;1223;Memory;Children's Games
54;Go Fish;0;2;6;20;4;1445;3,61;20334;1,05;1223;Set Collection;Children's Games
55;Crazy Eights;0;2;5;20;4;941;4,37;20301;1,07;930;Hand Management;Children's Games, Family Games
55;Crazy Eights;0;2;5;20;4;941;4,37;20301;1,07;930;Matching;Children's Games, Family Games
56;Hnefatafl;400;2;2;20;7;1203;6,57;2738;2,55;2448;Grid Movement;Abstract Games
56;Hnefatafl;400;2;2;20;7;1203;6,57;2738;2,55;2448;Square Grid;Abstract Games
56;Hnefatafl;400;2;2;20;7;1203;6,57;2738;2,55;2448;Variable Player Powers;Abstract Games
57;Pachisi;400;2;6;30;5;4476;4,49;20326;1,21;7349;Dice Rolling;Children's Games, Family Games
57;Pachisi;400;2;6;30;5;4476;4,49;20326;1,21;7349;Race;Children's Games, Family Games
57;Pachisi;400;2;6;30;5;4476;4,49;20326;1,21;7349;Roll / Spin and Move;Children's Games, Family Games
57;Pachisi;400;2;6;30;5;4476;4,49;20326;1,21;7349;Static Capture;Children's Games, Family Games
57;Pachisi;400;2;6;30;5;4476;4,49;20326;1,21;7349;Team-Based Game;Children's Games, Family Games
58;Yut Nori;500;2;8;30;6;105;5,66;15463;1,33;209;Roll / Spin and Move;Abstract Games, Party Games
59;Oware;550;2;2;20;10;352;6,46;5296;2,14;545;Mancala;Abstract Games
60;Chaturanga;650;2;4;30;8;98;5,92;14368;2,25;302;Dice Rolling;Abstract Games
60;Chaturanga;650;2;4;30;8;98;5,92;14368;2,25;302;Grid Movement;Abstract Games
60;Chaturanga;650;2;4;30;8;98;5,92;14368;2,25;302;Player Elimination;Abstract Games
61;Kalah;700;2;2;10;5;5932;5,92;3731;1,62;11063;Mancala;Abstract Games
62;Go-Moku;700;2;2;5;8;595;5,99;6288;1,88;518;Pattern Building;Abstract Games
63;Xiangqi;762;2;2;60;8;1884;7,12;1396;3,59;2884;Grid Movement;Abstract Games
64;Bagh Chal;1000;2;2;20;8;215;5,91;10250;2,42;398;Grid Movement;Abstract Games
64;Bagh Chal;1000;2;2;20;8;215;5,91;10250;2,42;398;Variable Player Powers;Abstract Games
65;Alquerque;1000;2;2;20;8;99;5,72;15298;1,91;176;Grid Movement;Abstract Games
66;Craps;1125;1;16;60;10;284;4,99;20022;1,79;183;Betting and Bluffing;Abstract Games, Party Games
66;Craps;1125;1;16;60;10;284;4,99;20022;1,79;183;Dice Rolling;Abstract Games, Party Games
67;Checkers;1150;2;2;30;6;7182;4,88;20314;1,77;8701;Grid Movement;Abstract Games
67;Checkers;1150;2;2;30;6;7182;4,88;20314;1,77;8701;Pattern Movement;Abstract Games
67;Checkers;1150;2;2;30;6;7182;4,88;20314;1,77;8701;Square Grid;Abstract Games
67;Checkers;1150;2;2;30;6;7182;4,88;20314;1,77;8701;Static Capture;Abstract Games
68;Chu Shogi;1300;2;2;120;8;31;8,39;11256;4,25;38;Grid Movement;Abstract Games
69;Fox and Geese;1400;2;2;20;8;260;4,72;20100;1,55;433;Grid Movement;Abstract Games
69;Fox and Geese;1400;2;2;20;8;260;4,72;20100;1,55;433;Point to Point Movement;Abstract Games
69;Fox and Geese;1400;2;2;20;8;260;4,72;20100;1,55;433;Square Grid;Abstract Games
69;Fox and Geese;1400;2;2;20;8;260;4,72;20100;1,55;433;Static Capture;Abstract Games
69;Fox and Geese;1400;2;2;20;8;260;4,72;20100;1,55;433;Variable Player Powers;Abstract Games
70;Tarot;1425;2;8;30;12;712;6,82;3090;2,45;1379;Auction/Bidding;Abstract Games, Strategy Games
70;Tarot;1425;2;8;30;12;712;6,82;3090;2,45;1379;Team-Based Game;Abstract Games, Strategy Games
70;Tarot;1425;2;8;30;12;712;6,82;3090;2,45;1379;Trick-taking;Abstract Games, Strategy Games
71;Chess;1475;2;2;60;6;28745;7,13;435;3,70;40068;Grid Movement;Abstract Games
71;Chess;1475;2;2;60;6;28745;7,13;435;3,70;40068;Pattern Movement;Abstract Games
71;Chess;1475;2;2;60;6;28745;7,13;435;3,70;40068;Square Grid;Abstract Games
71;Chess;1475;2;2;60;6;28745;7,13;435;3,70;40068;Static Capture;Abstract Games
72;Dominoes;1500;2;10;30;5;5894;5,47;19801;1,38;11311;Pattern Building;Abstract Games
72;Dominoes;1500;2;10;30;5;5894;5,47;19801;1,38;11311;Pattern Recognition;Abstract Games
72;Dominoes;1500;2;10;30;5;5894;5,47;19801;1,38;11311;Team-Based Game;Abstract Games
72;Dominoes;1500;2;10;30;5;5894;5,47;19801;1,38;11311;Tile Placement;Abstract Games
73;Dreidel;1500;2;6;10;4;106;3,66;20121;1;146;Betting and Bluffing;Children's Games, Party Games
74;Bingo;1530;2;99;60;5;2154;2,85;20341;1,05;1533;Betting and Bluffing;Party Games
74;Bingo;1530;2;99;60;5;2154;2,85;20341;1,05;1533;Bingo;Party Games
74;Bingo;1530;2;99;60;5;2154;2,85;20341;1,05;1533;Pattern Recognition;Party Games
75;Charades;1550;2;20;30;8;494;5,02;20135;1,10;352;Acting;Party Games
76;Shogi;1587;2;2;60;8;1544;7,37;1291;3,82;2603;Grid Movement;Abstract Games
76;Shogi;1587;2;2;60;8;1544;7,37;1291;3,82;2603;Hand Management;Abstract Games
76;Shogi;1587;2;2;60;8;1544;7,37;1291;3,82;2603;Pattern Movement;Abstract Games
76;Shogi;1587;2;2;60;8;1544;7,37;1291;3,82;2603;Square Grid;Abstract Games
77;Game of Goose;1587;2;6;20;5;766;3,41;20320;1,07;930;Dice Rolling;Children's Games
77;Game of Goose;1587;2;6;20;5;766;3,41;20320;1,07;930;Events;Children's Games
77;Game of Goose;1587;2;6;20;5;766;3,41;20320;1,07;930;Lose a Turn;Children's Games
77;Game of Goose;1587;2;6;20;5;766;3,41;20320;1,07;930;Race;Children's Games
77;Game of Goose;1587;2;6;20;5;766;3,41;20320;1,07;930;Roll / Spin and Move;Children's Games
77;Game of Goose;1587;2;6;20;5;766;3,41;20320;1,07;930;Track Movement;Children's Games
78;International Checkers;1600;2;2;40;5;245;6,55;6319;2,33;289;Grid Movement;Abstract Games
78;International Checkers;1600;2;2;40;5;245;6,55;6319;2,33;289;Square Grid;Abstract Games
79;Scopa;1600;2;6;30;8;821;6,55;3294;1,51;1541;Hand Management;Family Games
79;Scopa;1600;2;6;30;8;821;6,55;3294;1,51;1541;Memory;Family Games
79;Scopa;1600;2;6;30;8;821;6,55;3294;1,51;1541;Set Collection;Family Games
79;Scopa;1600;2;6;30;8;821;6,55;3294;1,51;1541;Team-Based Game;Family Games
80;Cribbage;1630;2;4;30;10;8302;7,05;614;1,90;12471;Hand Management;Abstract Games, Family Games
81;Whist;1663;2;4;60;12;455;6,43;4761;2,03;352;Team-Based Game;Abstract Games, Family Games
81;Whist;1663;2;4;60;12;455;6,43;4761;2,03;352;Trick-taking;Abstract Games, Family Games
82;Fanorona;1680;2;2;20;7;219;6,41;6914;2,59;285;Grid Movement;Abstract Games
83;Solitaire;1687;1;1;15;6;965;4,38;20304;1,51;1271;Point to Point Movement;Abstract Games
84;Blackjack;1700;2;10;30;8;1568;4,66;20305;1,50;596;Betting and Bluffing;Abstract Games, Party Games
84;Blackjack;1700;2;10;30;8;1568;4,66;20305;1,50;596;Push Your Luck;Abstract Games, Party Games
85;Tablut;1700;2;2;45;8;180;6,32;8499;2,50;274;Grid Movement;Abstract Games
85;Tablut;1700;2;2;45;8;180;6,32;8499;2,50;274;Point to Point Movement;Abstract Games
86;Hanafuda;1701;2;7;60;8;726;6,72;3192;1,71;1966;Hand Management;Family Games
86;Hanafuda;1701;2;7;60;8;726;6,72;3192;1,71;1966;Push Your Luck;Family Games
86;Hanafuda;1701;2;7;60;8;726;6,72;3192;1,71;1966;Set Collection;Family Games
87;Schnapsen;1715;2;2;20;8;235;6,98;5136;2,08;234;Memory;Abstract Games
87;Schnapsen;1715;2;2;20;8;235;6,98;5136;2,08;234;Trick-taking;Abstract Games
88;Hoyle's Games;1742;1;0;0;8;70;6,44;10748;3,33;167;Betting and Bluffing;Abstract Games
88;Hoyle's Games;1742;1;0;0;8;70;6,44;10748;3,33;167;Card Drafting;Abstract Games
88;Hoyle's Games;1742;1;0;0;8;70;6,44;10748;3,33;167;Dice Rolling;Abstract Games
88;Hoyle's Games;1742;1;0;0;8;70;6,44;10748;3,33;167;Team-Based Game;Abstract Games
89;Mus;1745;4;4;10;7;437;7,94;2440;2,25;415;Betting and Bluffing;Family Games
89;Mus;1745;4;4;10;7;437;7,94;2440;2,25;415;Team-Based Game;Family Games
90;Shut the Box;1750;2;4;30;8;1187;5,06;20246;1,08;2594;Dice Rolling;Children's Games
91;Konane;1775;2;2;20;6;58;6,17;13025;2;145;Grid Movement;Abstract Games
91;Konane;1775;2;2;20;6;58;6,17;13025;2;145;Square Grid;Abstract Games
91;Konane;1775;2;2;20;6;58;6,17;13025;2;145;Static Capture;Abstract Games
92;Schafkopf;1780;4;4;30;7;276;7,53;3842;2,61;375;Auction/Bidding;Abstract Games, Family Games
92;Schafkopf;1780;4;4;30;7;276;7,53;3842;2,61;375;Team-Based Game;Abstract Games, Family Games
92;Schafkopf;1780;4;4;30;7;276;7,53;3842;2,61;375;Trick-taking;Abstract Games, Family Games
93;Patience;1783;1;1;10;8;377;4,85;20161;1,27;219;Pattern Building;Abstract Games, Family Games
93;Patience;1783;1;1;10;8;377;4,85;20161;1,27;219;Solo / Solitaire Game;Abstract Games, Family Games
94;Roulette;1796;2;6;1;8;760;3,39;20321;1,13;548;Betting and Bluffing;Family Games, Party Games
95;Perudo;1800;2;6;30;8;12606;6,90;685;1,26;16159;Betting and Bluffing;Family Games, Party Games
95;Perudo;1800;2;6;30;8;12606;6,90;685;1,26;16159;Dice Rolling;Family Games, Party Games
95;Perudo;1800;2;6;30;8;12606;6,90;685;1,26;16159;Player Elimination;Family Games, Party Games
96;Casino;1800;2;4;30;10;281;6,29;6441;1,40;183;Hand Management;Abstract Games, Family Games
96;Casino;1800;2;4;30;10;281;6,29;6441;1,40;183;Set Collection;Abstract Games, Family Games
97;Asalto;1803;2;2;20;10;74;5,67;16306;1,86;162;Grid Movement;Abstract Games
97;Asalto;1803;2;2;20;10;74;5,67;16306;1,86;162;Point to Point Movement;Abstract Games
98;Skat;1810;3;3;30;10;1001;7,25;1881;3,07;1413;Auction/Bidding;Strategy Games
98;Skat;1810;3;3;30;10;1001;7,25;1881;3,07;1413;Team-Based Game;Strategy Games
98;Skat;1810;3;3;30;10;1001;7,25;1881;3,07;1413;Trick-taking;Strategy Games
99;Poker;1810;2;10;60;12;9276;6,72;1031;2,45;7978;Betting and Bluffing;Strategy Games
99;Poker;1810;2;10;60;12;9276;6,72;1031;2,45;7978;Player Elimination;Strategy Games
99;Poker;1810;2;10;60;12;9276;6,72;1031;2,45;7978;Set Collection;Strategy Games
100;The von Reisswitz Kriegsspiel: The Prussian Army Wargame;1824;2;99;300;12;33;8,24;10219;3,67;76;Secret Unit Deployment;Wargames
100;The von Reisswitz Kriegsspiel: The Prussian Army Wargame;1824;2;99;300;12;33;8,24;10219;3,67;76;Simulation;Wargames
100;The von Reisswitz Kriegsspiel: The Prussian Army Wargame;1824;2;99;300;12;33;8,24;10219;3,67;76;Team-Based Game;Wargames
101;Euchre;1848;2;7;45;8;2245;6,80;1602;1,69;1644;Team-Based Game;Family Games
101;Euchre;1848;2;7;45;8;2245;6,80;1602;1,69;1644;Trick-taking;Family Games
102;Pick Up Sticks;1850;2;6;30;4;2232;4,26;20323;1,05;2753;Physical Removal;Children's Games
102;Pick Up Sticks;1850;2;6;30;4;2232;4,26;20323;1,05;2753;Push Your Luck;Children's Games
102;Pick Up Sticks;1850;2;6;30;4;2232;4,26;20323;1,05;2753;Set Collection;Children's Games
102;Pick Up Sticks;1850;2;6;30;4;2232;4,26;20323;1,05;2753;Take That;Children's Games
103;Hearts;1850;3;7;30;8;3829;6,44;1850;1,77;2028;Trick-taking;Family Games
104;Mahjong;1850;3;4;120;8;6456;7,02;763;2,57;9160;Hand Management;Abstract Games
104;Mahjong;1850;3;4;120;8;6456;7,02;763;2,57;9160;Set Collection;Abstract Games
105;Happy Families;1851;2;4;30;4;253;4,76;20106;1,06;635;Set Collection;Children's Games
106;The Game of Authors;1861;2;6;15;7;216;4,50;20134;1,03;563;Hand Management;Children's Games
106;The Game of Authors;1861;2;6;15;7;216;4,50;20134;1,03;563;Memory;Children's Games
106;The Game of Authors;1861;2;6;15;7;216;4,50;20134;1,03;563;Set Collection;Children's Games
107;Pinochle;1864;2;4;45;10;951;6,85;2446;2,30;1098;Auction/Bidding;Family Games
107;Pinochle;1864;2;4;45;10;951;6,85;2446;2,30;1098;Melding and Splaying;Family Games
107;Pinochle;1864;2;4;45;10;951;6,85;2446;2,30;1098;Trick-taking;Family Games
108;Snap;1866;2;12;10;5;208;3,36;20264;1,15;454;Pattern Recognition;Children's Games
109;Old Maid;1874;2;6;5;4;1405;3,62;20332;1,05;2021;Hand Management;Children's Games
109;Old Maid;1874;2;6;5;4;1405;3,62;20332;1,05;2021;Hot Potato;Children's Games
109;Old Maid;1874;2;6;5;4;1405;3,62;20332;1,05;2021;Set Collection;Children's Games
110;Crokinole;1876;2;4;30;8;12197;7,91;65;1,25;10561;Flicking;Family Games
110;Crokinole;1876;2;4;30;8;12197;7,91;65;1,25;10561;Team-Based Game;Family Games
111;4 Player Chess;1881;2;4;45;8;421;5,95;8969;2,90;813;Grid Movement;Abstract Games
111;4 Player Chess;1881;2;4;45;8;421;5,95;8969;2,90;813;Player Elimination;Abstract Games
111;4 Player Chess;1881;2;4;45;8;421;5,95;8969;2,90;813;Square Grid;Abstract Games
111;4 Player Chess;1881;2;4;45;8;421;5,95;8969;2,90;813;Static Capture;Abstract Games
112;Othello;1883;2;2;30;8;7040;6,10;2753;2,10;10960;Enclosure;Abstract Games
112;Othello;1883;2;2;30;8;7040;6,10;2753;2,10;10960;Tile Placement;Abstract Games
113;Halma;1884;2;4;30;8;229;5,37;18838;1,82;475;Grid Movement;Abstract Games
113;Halma;1884;2;4;30;8;229;5,37;18838;1,82;475;Race;Abstract Games
113;Halma;1884;2;4;30;8;229;5,37;18838;1,82;475;Square Grid;Abstract Games
114;42;1885;4;4;30;10;174;7,05;5666;2,20;143;Auction/Bidding;Abstract Games
114;42;1885;4;4;30;10;174;7,05;5666;2,20;143;Team-Based Game;Abstract Games
114;42;1885;4;4;30;10;174;7,05;5666;2,20;143;Trick-taking;Abstract Games
115;Loteria;1887;2;10;10;4;106;4,70;19773;1,21;198;Betting and Bluffing;Family Games, Party Games
115;Loteria;1887;2;10;10;4;106;4,70;19773;1,21;198;Bingo;Family Games, Party Games
115;Loteria;1887;2;10;10;4;106;4,70;19773;1,21;198;Modular Board;Family Games, Party Games
116;Rummy;1887;2;6;60;8;1452;5,77;6753;1,42;1538;Melding and Splaying;Family Games
116;Rummy;1887;2;6;60;8;1452;5,77;6753;1,42;1538;Set Collection;Family Games
117;Go Stop;1889;2;5;60;8;186;6,64;6809;2,17;296;Hand Management;Family Games
117;Go Stop;1889;2;5;60;8;186;6,64;6809;2,17;296;Push Your Luck;Family Games
117;Go Stop;1889;2;5;60;8;186;6,64;6809;2,17;296;Set Collection;Family Games
118;Boxes;1889;2;2;15;7;208;4,70;20063;1,51;146;Enclosure;Abstract Games
118;Boxes;1889;2;2;15;7;208;4,70;20063;1,51;146;Paper-and-Pencil;Abstract Games
119;Gone Fishin';1890;1;4;10;4;119;4,01;20088;1;240;Set Collection;Children's Games
120;Chinese Checkers;1893;2;6;30;7;4157;5,12;20284;1,59;5282;Enclosure;Abstract Games
120;Chinese Checkers;1893;2;6;30;7;4157;5,12;20284;1,59;5282;Grid Movement;Abstract Games
120;Chinese Checkers;1893;2;6;30;7;4157;5,12;20284;1,59;5282;Point to Point Movement;Abstract Games
120;Chinese Checkers;1893;2;6;30;7;4157;5,12;20284;1,59;5282;Race;Abstract Games
120;Chinese Checkers;1893;2;6;30;7;4157;5,12;20284;1,59;5282;Team-Based Game;Abstract Games
121;Doppelkopf;1895;3;6;120;7;693;7,51;2080;2,92;824;Auction/Bidding;Family Games
121;Doppelkopf;1895;3;6;120;7;693;7,51;2080;2,92;824;Team-Based Game;Family Games
121;Doppelkopf;1895;3;6;120;7;693;7,51;2080;2,92;824;Trick-taking;Family Games
122;Pit;1903;3;8;90;7;8287;6,39;1665;1,16;14412;Set Collection;Family Games, Party Games
122;Pit;1903;3;8;90;7;8287;6,39;1665;1,16;14412;Trading;Family Games, Party Games
123;Flinch;1903;1;8;20;7;415;5,23;19890;1,14;1778;Card Drafting;Family Games
123;Flinch;1903;1;8;20;7;415;5,23;19890;1,14;1778;Memory;Family Games
